week,cluster_id,n_teams,weight,win_rate,share
2026-W22,9,738,738.0,0.6022727272727273,0.030500909241196892
2026-W22,10,968,968.0,0.5757575757575758,0.040006612663250125
2026-W22,11,2011,2011.0,0.5648286140089419,0.08311291122499587
2026-W22,12,439,439.0,0.5150214592274678,0.01814349479252769
2026-W22,13,1063,1063.0,0.5826210826210826,0.04393288146801124
2026-W22,14,581,581.0,0.4179566563467492,0.024012233427012728
2026-W22,15,734,734.0,0.6242424242424243,0.030335592659943792
2026-W22,16,1032,1032.0,0.5773524720893142,0.04265167796329972
2026-W22,17,628,628.0,0.5071225071225072,0.025954703256736652
2026-W22,18,583,583.0,0.4421052631578947,0.024094891717639278
2026-W22,19,1778,1778.0,0.5368,0.0734832203670028
2026-W22,20,787,787.0,0.49159663865546216,0.03252603736154736
2026-W22,21,514,514.0,0.6151079136690647,0.02124318069102331
2026-W22,22,2886,2886.0,0.5736543909348442,0.11927591337411142
2026-W22,23,334,334.0,0.5555555555555556,0.013803934534633824
2026-W23,1,1351,1351.0,0.5656324582338902,0.05230352303523035
2026-W23,2,2714,2714.0,0.5602798708288482,0.10507162214479288
2026-W23,4,1169,1169.0,0.5443234836702955,0.04525745257452574
2026-W23,5,787,787.0,0.4691689008042895,0.030468447541618274
2026-W23,6,950,950.0,0.5870967741935483,0.03677893921796361
2026-W23,7,912,912.0,0.5278350515463918,0.035307781649245064
2026-W23,9,1455,1455.0,0.5916749256689792,0.056329849012775844
2026-W23,10,2712,2712.0,0.5749872902897813,0.10499419279907085
2026-W23,12,778,778.0,0.5429292929292929,0.030120015485869144
2026-W23,13,2400,2400.0,0.5890577507598784,0.09291521486643438
2026-W23,15,1336,1336.0,0.5561926605504587,0.05172280294231514
2026-W23,17,1380,1380.0,0.5550061804697157,0.053426248548199766
2026-W23,18,936,936.0,0.4420131291028446,0.03623693379790941
2026-W23,21,1610,1610.0,0.5467928496319664,0.06233062330623306
2026-W23,22,4525,4525.0,0.5953600482072914,0.17518389469608983
2026-W23,23,815,815.0,0.532258064516129,0.03155245838172668
2026-W24,1,1165,1165.0,0.5708502024291497,0.054628153427740786
2026-W24,2,2161,2161.0,0.5544340302811824,0.1013317077745475
2026-W24,4,1006,1006.0,0.5,0.047172465535027665
2026-W24,5,864,864.0,0.4916864608076009,0.04051392666229016
2026-W24,6,907,907.0,0.6157989228007181,0.04253024477164025
2026-W24,7,880,880.0,0.5419501133786848,0.04126418456344368
2026-W24,9,1044,1044.0,0.5973645680819912,0.04895432805026728
2026-W24,10,2917,2917.0,0.5884672252341054,0.1367813936040514
2026-W24,12,769,769.0,0.5378973105134475,0.03605927037419113
2026-W24,13,2221,2221.0,0.6011523687580026,0.1041451749038732
2026-W24,15,817,817.0,0.5802469135802469,0.03831004407765169
2026-W24,17,1238,1238.0,0.5626702997275205,0.058051205101753725
2026-W24,18,875,875.0,0.4688995215311005,0.041029728969333205
2026-W24,21,1071,1071.0,0.5361842105263158,0.050220388258463845
2026-W24,22,2703,2703.0,0.5863192182410424,0.12674669417612305
2026-W24,23,688,688.0,0.5826771653543307,0.03226108974960142
2026-W25,1,313,313.0,0.5974025974025974,0.041622340425531916
2026-W25,2,761,761.0,0.5786163522012578,0.1011968085106383
2026-W25,4,503,503.0,0.5764705882352941,0.06688829787234042
2026-W25,5,404,404.0,0.46445497630331756,0.05372340425531915
2026-W25,6,228,228.0,0.6416666666666667,0.03031914893617021
2026-W25,7,406,406.0,0.5488372093023256,0.05398936170212766
2026-W25,9,487,487.0,0.6418439716312057,0.06476063829787235
2026-W25,10,584,584.0,0.592391304347826,0.07765957446808511
2026-W25,12,334,334.0,0.5755813953488372,0.04441489361702128
2026-W25,13,482,482.0,0.6096654275092936,0.06409574468085107
2026-W25,15,242,242.0,0.543046357615894,0.032180851063829785
2026-W25,17,488,488.0,0.4942528735632184,0.06489361702127659
2026-W25,18,533,533.0,0.47674418604651164,0.07087765957446808
2026-W25,21,371,371.0,0.594059405940594,0.04933510638297872
2026-W25,22,1035,1035.0,0.5966257668711656,0.13763297872340424
2026-W25,23,349,349.0,0.639751552795031,0.04640957446808511
